human(Socrates) |~ mortal(Socrates)
(bird(Tweety) and cat(Sylvester)) |~ (dog(Tom) or snake(Jerry))
(red(herrings) or blue(salmon)) |~ (green(tuna) and yellow(mackerel))
(Eight twenties implies Four forties) |~ (Three times five implies Five times Three)
(not eats(Aristotle; lemons)) |~ (not conquers(Alexander; Scotland))
(Disks or Quetzals), (not (Quetzals or Harmans)) |~ (not (Harmans and Disks))
(Left Conjunct and Right Conjunct) |~ (Left Conjunct and Right Conjunct)
(Left Disjunct or Right Disjunct) |~ (Left Disjunct or Right Disjunct)
(Antecedent implies Consequent) |~ (Antecedent implies Consequent)
(not Negatum) |~ (not Negatum)
 |~ (Daylight implies Nighttime)
((Albert or Betty) implies (Carol and Daniel)) |~
((not (A implies B)) and (C and (not D))), ((B or (not A)) or ((C and E) implies D)) |~ (not E)
|~ (forall(x)(Human(x) implies Mortal(x)))
(forall(x)(Spicy(x) or (exists(y)(not Eats(y; x))))) |~ (exists(z)(Eats(z)))
